gene,coef,abs_coef
CES1,-0.07140146322590772,0.07140146322590772
PREX1,-0.03685590770119908,0.03685590770119908
ZNF300P1,-0.02257328027120559,0.02257328027120559
PDE1C,0.02248401183738723,0.02248401183738723
BCL11B,-0.018243194777462404,0.018243194777462404
PPP1R14C,0.01661104477345938,0.01661104477345938
SFRP1,-0.013691755395025417,0.013691755395025417
SPP1,0.013603979484379268,0.013603979484379268
TNFRSF21,-0.013441683977902106,0.013441683977902106
STMN2,-0.012907433019825727,0.012907433019825727
SCIN,0.012581373139780343,0.012581373139780343
ARHGAP28,-0.011802226064114744,0.011802226064114744
FUCA1,0.01174327465389648,0.01174327465389648
KCNA4,0.01104073396213581,0.01104073396213581
FOXE1,0.010819406904955826,0.010819406904955826
NDUFA4L2,-0.010412356063580588,0.010412356063580588
PLEK2,-0.009156661816175112,0.009156661816175112
PADI2,0.008715717809809034,0.008715717809809034
SELENOP,-0.008395951711913834,0.008395951711913834
LYPD6B,0.007939436249677932,0.007939436249677932
EMILIN2,-0.007812408805878161,0.007812408805878161
H2AC12,-0.006763571130267587,0.006763571130267587
NPAS1,0.0065795780254452405,0.0065795780254452405
GREB1L,0.006535199989784539,0.006535199989784539
DIO2,-0.006477736098811862,0.006477736098811862
TRNQ,0.006324572003876945,0.006324572003876945
ADAMTSL4,0.005582112930381472,0.005582112930381472
ZNF536,-0.005553229607418928,0.005553229607418928
LGALS9,-0.005493434918830783,0.005493434918830783
CCND2,0.00548208422821426,0.00548208422821426
GALNT5,0.004919804568535164,0.004919804568535164
NOG,-0.004513386574627229,0.004513386574627229
PURPL,0.004508563594153484,0.004508563594153484
RIMS1,0.0041650717477095395,0.0041650717477095395
STK26,-0.003846456839991164,0.003846456839991164
PKDCC,-0.0033885784482330285,0.0033885784482330285
HSPA6,0.0033564002106291134,0.0033564002106291134
TGFB2,0.003292741965797237,0.003292741965797237
RNA28SN5,0.003255690092669467,0.003255690092669467
NEK7,-0.003153959336419409,0.003153959336419409
MIR503HG,-0.003057379077147277,0.003057379077147277
KCNJ6,0.0029710881895759463,0.0029710881895759463
ARHGAP11A-SCG5,-0.0028921696014449563,0.0028921696014449563
HEPH,-0.0027581635831408127,0.0027581635831408127
TXNIP,0.002755556063691744,0.002755556063691744
USH2A,0.0026843978865512207,0.0026843978865512207
PDE4D,-0.0026476672143426875,0.0026476672143426875
PTPRN,-0.002609880914974135,0.002609880914974135
TTC9,0.0025139112198429197,0.0025139112198429197
CDC25C,-0.002383314387488135,0.002383314387488135
