biomarker,n,rho_brut,p_brut,rho_parcial,p_parcial
clock_horvath1,118,0.31127918676109206,0.0006013289100137223,0.27568941527067153,0.002513942708096922
clock_phenoage,118,0.3061224862459613,0.0007482637572042463,0.2529663755984793,0.0057138191759340765
clock_grimage,118,0.3185881106989471,0.0004381175335947717,0.3105080363305687,0.0006214684398154302
clock_hannum,118,0.23700822628566023,0.00976363301678277,0.2612053948045972,0.004276844680336174
telomere_length,118,-0.05983183872634523,0.5198359268566483,0.18594399950332158,0.04380162376611791
mtdna_cn,117,0.046119378381213556,0.6214727438788663,-0.014184237737715237,0.8793554596230747
