biomarker,n,rho_brut,p_brut,rho_parcial,p_parcial
clock_horvath1,118,0.09602711285046056,0.3009445743138041,-0.0990471808019166,0.28592632458750633
clock_phenoage,118,0.37153808088266355,3.439099710720496e-05,0.21710326894773557,0.01820219857011146
clock_grimage,118,-0.8732896911394926,5.019475440567916e-38,-0.8370164232576995,3.6930161809197556e-32
clock_hannum,118,-0.3523222584438451,9.127592142289936e-05,-0.7297557875823081,7.037413521277214e-21
telomere_length,118,-0.45627210144039104,2.0735694075965813e-07,-0.3706645630872949,3.600015574702484e-05
mtdna_cn,117,0.030676317643003794,0.7426623011508977,-0.1154370663429693,0.215203124165572
