biomarker,n_samples,rho_brut,p_brut,rho_parcial,p_parcial
telomere_length,43,-0.18993316805681487,0.22249664072140143,-0.08350951374207188,0.5944465158305273
mtdna_cn,43,0.046058592570220484,0.769306449482636,0.13334340078526125,0.3939691511337164
clock_horvath1,43,-0.11733615221987316,0.4536486244569507,-0.47961340984596806,0.0011367332308932618
clock_phenoage,43,0.0919661733615222,0.5575145258961889,-0.15116279069767444,0.33324068806841894
clock_grimage,43,-0.5268800966475385,0.00028368009710088166,-0.6144669284204168,1.1692652054431978e-05
