,rho_on_ft_val,rho_on_pre_val,n_ft_val,n_pre_val,delta
0,0.9720853858784892,0.937940263528953,28.0,111.0,0.03414512234953626
1,0.949468085106383,0.9217509650967197,47.0,181.0,0.02771712000966331
2,0.9090909090909091,0.7496747712074318,11.0,47.0,0.1594161378834773
