sample_id,cell_line,passage,study_part,percent_oxygen,treatment_clean,treatment_full,pdl,percent_lifespan,clinical_condition,donor_age,cell_type,sex,days_grown,telomere_length,telomere_length_cv,mtdna_cn,rnaseq_id,methylation_basename,clock_horvath1,clock_horvath2,clock_hannum,clock_phenoage,clock_grimage,clock_dnamtl,clock_dnamsen,clock_skin,clock_dunedin,grim_adm,grim_b2m,grim_cystatin,grim_gdf15,grim_leptin,grim_pai1,grim_timp1,pdl_norm,pdl_bin,has_rna,has_met,has_telomere,has_mtdna,has_img,has_clocks,n_modalities,rna_matrix_col,met_matrix_col,fold,senescence_score,sasp_score,mito_rna_score
49,hFB1,13.0,1,21,DEX,DEX_21,27.73,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.65,0.0,266.72,,203774260120_R01C01,59.64,24.43,-0.18,48.86,52.19,5.12,-0.98,,0.717300218,362.16,1661731.08,696843.43,355.01,21961.77,11081.91,34451.97,0.4594102054340623,mid,False,True,True,True,True,True,4,,203774260120_R01C01 beta,2.0,,,
52,hFB1,16.0,1,21,DEX,DEX_21,34.94,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.53,0.02,593.88,,203839170025_R02C01,60.59,29.28,6.21,52.9,50.56,5.31,-0.83,,0.7507012,370.99,1652861.4,698290.74,495.89,25317.8,8703.09,34614.96,0.5788601722995361,mid,False,True,True,True,True,True,4,,203839170025_R02C01 beta,2.0,,,
54,hFB1,18.0,1,21,DEX,DEX_21,38.8,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.54,0.01,458.5,,203774260120_R03C01,61.63,31.86,5.07,50.67,51.07,5.07,0.83,,0.691319016,365.24,1740389.42,735817.25,439.25,25843.22,3160.61,35134.68,0.6428098078197482,mid,False,True,True,True,True,True,4,,203774260120_R03C01 beta,2.0,,,
59,hFB1,23.0,1,21,DEX,DEX_21,44.1,,Normal,29.0,Primary Human Fibroblast (forearm),male,103.02,0.53,0.01,1021.65,,203836210089_R07C01,59.89,35.01,10.63,43.79,51.69,5.03,0.67,,0.735000483,378.94,1787076.45,767568.85,341.68,30689.82,-1897.58,36009.12,0.7306163021868788,late,False,True,True,True,True,True,4,,203836210089_R07C01 beta,2.0,,,
63,hFB1,27.0,1,21,DEX,DEX_21,46.48,,Normal,29.0,Primary Human Fibroblast (forearm),male,131.1,0.92,0.0,1380.18,,203774260157_R06C01,63.18,34.52,13.01,44.55,55.5,4.98,0.22,,0.832236437,403.9,1734672.83,797691.81,363.72,32725.45,3123.68,36213.19,0.7700463883366467,late,False,True,True,True,True,True,4,,203774260157_R06C01 beta,2.0,,,
79,hFB2,17.0,1,21,DEX,DEX_21,27.39,,Normal,36.0,Primary Human Fibroblast (forearm),female,74.31,0.77,0.01,1128.3,,203774260024_R01C01,37.77,29.55,11.79,41.64,66.12,5.43,4.41,,0.404305715,468.84,1972862.05,747548.76,12.91,42862.42,11605.27,35489.39,0.8055882352941177,late,False,True,True,True,True,True,4,,203774260024_R01C01 beta,2.0,,,
87,hFB1,9.0,1,21,Pulsated_DEX,Pulsated_DEX_21,18.61,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,0.64,0.0,795.69,,203784950085_R06C01,55.31,27.79,-2.61,35.47,50.32,5.16,-1.19,,0.608798094,361.92,1610195.96,690401.37,280.29,15375.64,10981.99,33968.65,0.30831676607024516,early,False,True,True,True,True,True,4,,203784950085_R06C01 beta,2.0,,,
91,hFB1,13.0,1,21,Pulsated_DEX,Pulsated_DEX_21,34.91,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.63,0.04,375.23,,203774260129_R07C01,67.52,31.31,5.32,50.93,52.76,5.13,1.92,,0.651847447,370.33,1614469.48,719335.88,631.14,19564.07,6641.68,34200.89,0.5783631544068919,mid,False,True,True,True,True,True,4,,203774260129_R07C01 beta,2.0,,,
94,hFB1,16.0,1,21,Pulsated_DEX,Pulsated_DEX_21,46.7,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.79,0.09,438.87,,203774260159_R03C01,68.68,34.43,7.52,43.03,57.25,4.95,5.64,,0.590930408,410.67,1679794.29,792536.86,445.2,24489.47,3540.59,34562.38,0.7736911862160372,late,False,True,True,True,True,True,4,,203774260159_R03C01 beta,2.0,,,
96,hFB1,18.0,1,21,Pulsated_DEX,Pulsated_DEX_21,52.84,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.61,0.02,593.77,,203784950010_R08C01,63.48,35.77,9.32,42.7,59.82,4.87,7.36,,0.595320741,410.12,1670687.44,822216.0,442.04,25715.01,2751.62,34455.41,0.8754141815772035,late,False,True,True,True,True,True,4,,203784950010_R08C01 beta,2.0,,,
