sample_id,cell_line,passage,study_part,percent_oxygen,treatment_clean,treatment_full,pdl,percent_lifespan,clinical_condition,donor_age,cell_type,sex,days_grown,telomere_length,telomere_length_cv,mtdna_cn,rnaseq_id,methylation_basename,clock_horvath1,clock_horvath2,clock_hannum,clock_phenoage,clock_grimage,clock_dnamtl,clock_dnamsen,clock_skin,clock_dunedin,grim_adm,grim_b2m,grim_cystatin,grim_gdf15,grim_leptin,grim_pai1,grim_timp1,pdl_norm,pdl_bin,has_rna,has_met,has_telomere,has_mtdna,has_img,has_clocks,n_modalities,rna_matrix_col,met_matrix_col,fold,senescence_score,sasp_score,mito_rna_score
34,hFB2,14.0,1,21,Control,Control_21,29.98,,Normal,36.0,Primary Human Fibroblast (forearm),female,47.08,0.81,0.03,760.08,,203774260133_R07C01,40.17,29.8,14.61,43.0,60.16,5.45,4.04,,0.325563793,439.23,1881319.62,708817.99,-166.78,39084.54,12738.2,33685.93,0.881764705882353,late,False,True,True,True,True,True,4,,203774260133_R07C01 beta,2.0,,,
37,hFB2,17.0,1,21,Control,Control_21,34.0,,Normal,36.0,Primary Human Fibroblast (forearm),female,74.31,0.64,0.03,924.63,,203784950020_R01C01,42.08,26.78,14.12,53.26,59.86,5.37,5.25,,0.272154022,456.74,1890479.71,704243.49,-139.65,37130.88,10151.65,32854.9,1.0,late,False,True,True,True,True,True,4,,203784950020_R01C01 beta,2.0,,,
313,hFB12,1.0,2,21,Control,Control_21,0.0,,Normal,18.0,Primary Human Fibroblast (breast),male,0.0,1.4,0.01,411.98,,203784950092_R04C01,27.99,7.0,-25.38,6.65,44.94,5.54,-7.57,45.99,0.757798754,352.38,1546797.36,656615.64,-72.96,9822.54,38012.68,29419.4,0.0,early,False,True,True,True,False,True,3,,203784950092_R04C01 beta,0.0,,,
315,hFB12,3.0,2,21,Control,Control_21,5.19,,Normal,18.0,Primary Human Fibroblast (breast),male,7.17,1.23,0.03,388.76,,203774260140_R04C01,33.26,8.34,-24.2,14.98,45.53,5.4,-4.9,49.0,0.723750107,352.76,1488908.27,686626.53,-69.34,10490.11,32525.42,29504.06,0.0758217677136596,early,False,True,True,True,False,True,3,,203774260140_R04C01 beta,0.0,,,
318,hFB12,6.0,2,21,Control,Control_21,15.22,,Normal,18.0,Primary Human Fibroblast (breast),male,21.21,1.12,0.04,342.19,21.0,203784950092_R03C01,29.22,6.49,-22.16,15.14,44.04,5.43,-2.67,53.23,0.668920726,350.78,1585725.11,671892.84,-52.74,18037.98,29063.55,29988.27,0.22235208181154126,early,True,True,True,True,True,True,5,Sample_21,203784950092_R03C01 beta,0.0,0.21028126382096443,-0.053024613641404005,-0.17171393742502983
319,hFB12,7.0,2,21,Control,Control_21,19.14,,Normal,18.0,Primary Human Fibroblast (breast),male,27.04,0.97,0.06,383.27,,203784950049_R03C01,35.75,8.0,-15.63,16.81,41.67,5.37,-2.87,57.36,0.707359317,346.86,1475701.48,634428.9,8.52,21537.2,26557.02,29760.97,0.2796201607012418,early,False,True,True,True,True,True,4,,203784950049_R03C01 beta,0.0,,,
321,hFB12,9.0,2,21,Control,Control_21,25.82,,Normal,18.0,Primary Human Fibroblast (breast),male,37.33,,,,22.0,,,,,,,,,,,,,,,,,,0.3772096420745069,mid,True,False,False,False,True,False,2,Sample_22,,0.0,0.07095642186923726,-0.1155399036347705,-0.1975916661681386
322,hFB12,10.0,2,21,Control,Control_21,28.81,,Normal,18.0,Primary Human Fibroblast (breast),male,42.04,0.95,0.04,325.34,,203833040096_R03C01,43.41,12.6,-11.61,20.12,37.91,5.26,-0.26,63.2,0.640224809,326.01,1506879.2,647210.83,-49.88,21714.5,18298.81,29714.37,0.4208911614317019,mid,False,True,True,True,True,True,4,,203833040096_R03C01 beta,0.0,,,
324,hFB12,12.0,2,21,Control,Control_21,35.34,,Normal,18.0,Primary Human Fibroblast (breast),male,52.96,,,,23.0,,,,,,,,,,,,,,,,,,0.5162892622352082,mid,True,False,False,False,True,False,2,Sample_23,,0.0,0.09964740000642418,-0.025657438604600385,-0.4073278422396308
325,hFB12,13.0,2,21,Control,Control_21,37.95,,Normal,18.0,Primary Human Fibroblast (breast),male,58.04,0.87,0.01,379.21,,203784950009_R05C01,42.78,15.21,-8.38,25.33,36.98,5.4,0.54,70.07,0.656732596,326.89,1462012.82,661133.84,-46.83,26185.8,15594.44,29993.54,0.5544192841490139,mid,False,True,True,True,True,True,4,,203784950009_R05C01 beta,0.0,,,
327,hFB12,15.0,2,21,Control,Control_21,42.9,,Normal,18.0,Primary Human Fibroblast (breast),male,68.08,,,,24.0,,,,,,,,,,,,,,,,,,0.6267348429510591,mid,True,False,False,False,True,False,2,Sample_24,,0.0,0.06456219751879566,0.006561995759120559,-0.19634314432687705
328,hFB12,16.0,2,21,Control,Control_21,45.39,,Normal,18.0,Primary Human Fibroblast (breast),male,73.08,0.7,0.03,415.16,,203784950082_R05C01,40.32,19.93,3.5,41.12,37.48,5.54,0.05,75.08,0.716440533,307.96,1513969.9,713642.57,-114.94,30722.32,15298.88,30518.52,0.6631117604090577,late,False,True,True,True,True,True,4,,203784950082_R05C01 beta,0.0,,,
330,hFB12,18.0,2,21,Control,Control_21,49.15,,Normal,18.0,Primary Human Fibroblast (breast),male,83.08,,,,25.0,,,,,,,,,,,,,,,,,,0.7180423666910153,late,True,False,False,False,True,False,2,Sample_25,,0.0,-0.09805227518452145,-0.2156426203886526,0.17458631596871169
331,hFB12,19.0,2,21,Control,Control_21,50.88,,Normal,18.0,Primary Human Fibroblast (breast),male,88.04,0.51,0.04,564.5,,203774260153_R08C01,36.68,26.43,14.45,47.26,39.35,5.43,-0.94,83.17,0.751549852,323.99,1486681.13,791886.81,-154.61,32606.64,11360.95,31328.74,0.7433162892622353,late,False,True,True,True,True,True,4,,203774260153_R08C01 beta,0.0,,,
333,hFB12,21.0,2,21,Control,Control_21,53.47,,Normal,18.0,Primary Human Fibroblast (breast),male,98.08,,,,26.0,,,,,,,,,,,,,,,,,,0.781154127100073,late,True,False,False,False,True,False,2,Sample_26,,0.0,-0.010755502433146796,-0.03967105332362753,0.37005698257099956
334,hFB12,22.0,2,21,Control,Control_21,54.27,,Normal,18.0,Primary Human Fibroblast (breast),male,102.96,0.64,0.01,657.22,,203774260159_R06C01,20.12,36.4,15.73,45.78,41.4,5.49,-1.08,86.86,0.699898534,335.52,1520640.96,879738.43,-247.34,33529.37,12686.9,31185.64,0.7928414901387875,late,False,True,True,True,True,True,4,,203774260159_R06C01 beta,0.0,,,
336,hFB12,24.0,2,21,Control,Control_21,56.72,,Normal,18.0,Primary Human Fibroblast (breast),male,115.0,,,,27.0,,,,,,,,,,,,,,,,,,0.8286340394448503,late,True,False,False,False,True,False,2,Sample_27,,0.0,-0.06835199967501626,0.18039193565809564,0.5245299839139421
337,hFB12,25.0,2,21,Control,Control_21,57.21,,Normal,18.0,Primary Human Fibroblast (breast),male,120.96,0.61,0.01,747.99,,203784950029_R05C01,14.09,41.38,7.79,44.84,40.38,5.58,-0.85,89.68,0.643848756,314.64,1481803.23,905752.14,-235.03,38321.95,9776.09,31172.76,0.8357925493060628,late,False,True,True,True,True,True,4,,203784950029_R05C01 beta,0.0,,,
339,hFB12,27.0,2,21,Control,Control_21,59.59,,Normal,18.0,Primary Human Fibroblast (breast),male,134.96,,,,28.0,,,,,,,,,,,,,,,,,,0.8705624543462381,late,True,False,False,False,True,False,2,Sample_28,,0.0,0.27764523120612666,0.2613749049539263,0.4079574048591611
340,hFB12,28.0,2,21,Control,Control_21,60.19,,Normal,18.0,Primary Human Fibroblast (breast),male,142.88,0.43,0.01,506.75,,203769830153_R04C01,13.72,36.17,4.28,42.82,42.1,5.59,-0.65,89.53,0.653701157,328.72,1485274.74,916931.95,-90.44,40583.0,11371.36,31483.11,0.8793279766252738,late,False,True,True,True,True,True,4,,203769830153_R04C01 beta,0.0,,,
342,hFB12,30.0,2,21,Control,Control_21,61.81,,Normal,18.0,Primary Human Fibroblast (breast),male,157.92,,,,29.0,,,,,,,,,,,,,,,,,,0.9029948867786706,late,True,False,False,False,True,False,2,Sample_29,,0.0,-0.1037066457051681,0.08548109404561134,-0.061411359002169486
343,hFB12,31.0,2,21,Control,Control_21,62.65,,Normal,18.0,Primary Human Fibroblast (breast),male,165.88,0.55,0.01,480.87,,203833040091_R02C01,13.6,40.31,2.75,44.34,40.6,5.78,1.32,91.78,0.650602179,298.97,1495099.46,911673.68,-72.16,39971.35,11589.9,31156.92,0.9152666179693206,late,False,True,True,True,True,True,4,,203833040091_R02C01 beta,0.0,,,
345,hFB12,33.0,2,21,Control,Control_21,63.62,,Normal,18.0,Primary Human Fibroblast (breast),male,180.88,,,,30.0,,,,,,,,,,,,,,,,,,0.9294375456537618,late,True,False,False,False,True,False,2,Sample_30,,0.0,0.16194565115709636,0.04038948552578847,0.3629713716107096
346,hFB12,34.0,2,21,Control,Control_21,63.69,,Normal,18.0,Primary Human Fibroblast (breast),male,188.29,0.46,0.01,592.98,,203774260151_R02C01,7.75,45.33,6.67,42.78,41.81,5.59,1.13,93.42,0.594313932,319.32,1459819.86,925635.04,-165.42,42119.69,13263.11,31265.0,0.9304601899196493,late,False,True,True,True,True,True,4,,203774260151_R02C01 beta,0.0,,,
348,hFB12,36.0,2,21,Control,Control_21,64.8,,Normal,18.0,Primary Human Fibroblast (breast),male,202.0,,,,31.0,,,,,,,,,,,,,,,,,,0.9466764061358656,late,True,False,False,False,True,False,2,Sample_31,,0.0,-0.01180019771936569,-0.01197852860585455,0.006549324998476103
349,hFB12,37.0,2,21,Control,Control_21,65.71,,Normal,18.0,Primary Human Fibroblast (breast),male,210.83,0.36,0.02,810.42,,203774260106_R01C01,11.68,41.88,5.37,35.11,40.35,5.63,2.21,90.64,0.710813327,325.05,1463677.52,903712.24,-176.2,41862.6,11117.72,31033.17,0.9599707815924031,late,False,True,True,True,True,True,4,,203774260106_R01C01 beta,0.0,,,
354,hFB12,42.0,2,21,Control,Control_21,68.45,,Normal,18.0,Primary Human Fibroblast (breast),male,265.0,0.33,0.04,337.36,,203774260104_R07C01,8.12,40.84,7.85,40.94,41.06,5.52,2.0,92.76,0.554657472,315.32,1534803.76,899979.33,-78.48,39028.96,10565.29,31573.37,1.0,late,False,True,True,True,False,True,3,,203774260104_R07C01 beta,0.0,,,
355,hFB13,1.0,2,21,Control,Control_21,0.0,,Normal,18.0,Primary Human Fibroblast (breast),female,0.0,1.43,0.01,399.06,,203833040027_R05C01,34.75,26.94,-17.56,6.53,51.83,5.68,-3.96,59.22,0.641950147,423.92,1431598.1,726158.86,-99.34,12930.2,33105.95,31004.7,0.0,early,False,True,True,True,False,True,3,,203833040027_R05C01 beta,1.0,,,
357,hFB13,3.0,2,21,Control,Control_21,4.91,,Normal,18.0,Primary Human Fibroblast (breast),female,8.04,1.77,0.01,501.27,,203784950089_R05C01,36.12,21.17,-17.1,16.23,52.07,5.69,-3.09,60.66,0.671339813,423.54,1474848.06,726413.45,-60.07,15646.69,32581.4,31168.22,0.0607372587827808,early,False,True,True,True,False,True,3,,203784950089_R05C01 beta,1.0,,,
359,hFB13,5.0,2,21,Control,Control_21,11.78,,Normal,18.0,Primary Human Fibroblast (breast),female,17.25,2.01,0.0,287.78,,203784950018_R04C01,36.24,19.76,-15.99,10.16,51.17,5.55,-0.7,64.51,0.683391134,411.79,1556898.19,706007.76,-5.78,19421.6,27773.61,31151.56,0.14571994062345373,early,False,True,True,True,True,True,4,,203784950018_R04C01 beta,1.0,,,
360,hFB13,6.0,2,21,Control,Control_21,15.63,,Normal,18.0,Primary Human Fibroblast (breast),female,22.08,,,,32.0,,,,,,,,,,,,,,,,,,0.1933448787728847,early,True,False,False,False,False,False,1,Sample_32,,1.0,0.27440630486759976,-0.010763445865658083,-0.06678333788642866
361,hFB13,7.0,2,21,Control,Control_21,19.94,,Normal,18.0,Primary Human Fibroblast (breast),female,27.92,1.08,0.01,333.43,,203839170025_R03C01,35.85,25.64,-12.97,7.29,49.06,5.55,0.72,66.7,0.667975591,406.52,1523546.61,679724.98,-115.32,26308.61,24509.6,31368.45,0.2466600692726373,early,False,True,True,True,True,True,4,,203839170025_R03C01 beta,1.0,,,
363,hFB13,9.0,2,21,Control,Control_21,27.83,,Normal,18.0,Primary Human Fibroblast (breast),female,38.04,,,,33.0,,,,,,,,,,,,,,,,,,0.3442602671944582,mid,True,False,False,False,True,False,2,Sample_33,,1.0,0.21499318456504937,-0.0012550875899910812,-0.32433265885179097
364,hFB13,10.0,2,21,Control,Control_21,31.56,,Normal,18.0,Primary Human Fibroblast (breast),female,42.92,0.99,0.03,315.23,,203769830137_R06C01,39.14,22.4,-6.68,15.27,49.0,5.42,1.93,74.86,0.697564091,404.68,1549791.73,681973.57,-17.14,28201.52,23639.37,31320.28,0.3904007916872835,mid,False,True,True,True,True,True,4,,203769830137_R06C01 beta,1.0,,,
366,hFB13,12.0,2,21,Control,Control_21,39.0,,Normal,18.0,Primary Human Fibroblast (breast),female,53.04,,,,34.0,,,,,,,,,,,,,,,,,,0.48243443839683325,mid,True,False,False,False,True,False,2,Sample_34,,1.0,0.21794490132030905,-0.028117921313318733,0.08565094880081822
367,hFB13,13.0,2,21,Control,Control_21,42.76,,Normal,18.0,Primary Human Fibroblast (breast),female,58.13,1.42,0.0,289.0,,203784950037_R04C01,49.8,28.81,-2.75,16.4,47.66,5.36,3.79,82.2,0.622189579,403.49,1511284.33,686236.29,-78.0,30649.73,17366.85,31280.43,0.5289460663038099,mid,False,True,True,True,True,True,4,,203784950037_R04C01 beta,1.0,,,
369,hFB13,15.0,2,21,Control,Control_21,50.17,,Normal,18.0,Primary Human Fibroblast (breast),female,68.29,,,,35.0,,,,,,,,,,,,,,,,,,0.6206086095992083,mid,True,False,False,False,True,False,2,Sample_35,,1.0,0.3950234966414813,0.08527940862718059,-0.2467547287826524
370,hFB13,16.0,2,21,Control,Control_21,52.86,,Normal,18.0,Primary Human Fibroblast (breast),female,73.13,0.99,0.0,315.21,,203774260104_R04C01,51.6,27.88,0.18,25.2,43.0,5.38,4.74,96.01,0.583205585,389.82,1453438.85,647979.08,3.8,31605.39,9959.93,30680.2,0.6538842157347847,mid,False,True,True,True,True,True,4,,203774260104_R04C01 beta,1.0,,,
372,hFB13,18.0,2,21,Control,Control_21,58.19,,Normal,18.0,Primary Human Fibroblast (breast),female,83.17,,,,36.0,,,,,,,,,,,,,,,,,,0.7198169223156853,late,True,False,False,False,True,False,2,Sample_36,,1.0,0.4877457969754161,0.15312148135320172,0.014929762881975006
373,hFB13,19.0,2,21,Control,Control_21,60.78,,Normal,18.0,Primary Human Fibroblast (breast),female,88.21,0.86,0.02,435.28,,203833040091_R08C01,48.38,28.08,1.64,26.25,43.26,5.38,5.4,101.91,0.574247591,382.98,1446644.15,632124.58,45.21,31683.49,11089.75,31002.5,0.751855517070757,late,False,True,True,True,True,True,4,,203833040091_R08C01 beta,1.0,,,
375,hFB13,21.0,2,21,Control,Control_21,65.47,,Normal,18.0,Primary Human Fibroblast (breast),female,98.13,,,,37.0,,,,,,,,,,,,,,,,,,0.8098713508164275,late,True,False,False,False,True,False,2,Sample_37,,1.0,0.5042423731054632,0.018194152856520342,-0.011767898118185502
376,hFB13,22.0,2,21,Control,Control_21,67.56,,Normal,18.0,Primary Human Fibroblast (breast),female,103.25,0.68,0.04,460.97,,203769830145_R08C01,60.12,30.67,9.23,18.77,42.45,5.45,3.39,110.38,0.636636847,370.21,1404202.06,650402.59,31.9,32994.07,7777.07,31472.43,0.8357248886689758,late,False,True,True,True,True,True,4,,203769830145_R08C01 beta,1.0,,,
378,hFB13,24.0,2,21,Control,Control_21,70.88,,Normal,18.0,Primary Human Fibroblast (breast),female,115.33,,,,38.0,,,,,,,,,,,,,,,,,,0.8767936665017317,late,True,False,False,False,True,False,2,Sample_38,,1.0,0.2611903914038082,0.18948931961889048,-0.2063802907722142
379,hFB13,25.0,2,21,Control,Control_21,71.79,,Normal,18.0,Primary Human Fibroblast (breast),female,122.04,0.77,0.01,755.73,,203833030029_R08C01,66.43,35.74,10.82,14.02,44.46,5.61,4.41,110.1,0.785957225,363.99,1481128.87,642485.23,102.5,31300.9,15855.36,31633.37,0.8880504700643246,late,False,True,True,True,True,True,4,,203833030029_R08C01 beta,1.0,,,
381,hFB13,27.0,2,21,Control,Control_21,73.34,,Normal,18.0,Primary Human Fibroblast (breast),female,136.29,,,,39.0,,,,,,,,,,,,,,,,,,0.9072241464621474,late,True,False,False,False,True,False,2,Sample_39,,1.0,-0.03828608213170872,0.11693249926467676,0.309493144744022
382,hFB13,28.0,2,21,Control,Control_21,73.55,,Normal,18.0,Primary Human Fibroblast (breast),female,143.21,0.84,0.03,604.88,,203784950078_R08C01,59.99,33.14,12.53,-8.43,44.23,5.79,3.82,115.59,0.93119213,342.0,1545689.55,671773.83,72.25,34504.16,14961.62,33062.16,0.9098218703612072,late,False,True,True,True,False,True,3,,203784950078_R08C01 beta,1.0,,,
384,hFB13,30.0,2,21,Control,Control_21,75.01,,Normal,18.0,Primary Human Fibroblast (breast),female,158.21,,,,40.0,,,,,,,,,,,,,,,,,,0.927882236516576,late,True,False,False,False,True,False,2,Sample_40,,1.0,-0.11231884142734944,0.18716120961462623,0.2544498800903999
385,hFB13,31.0,2,21,Control,Control_21,75.38,,Normal,18.0,Primary Human Fibroblast (breast),female,166.17,0.83,0.0,603.24,,203784950020_R02C01,64.41,41.12,12.6,-1.01,43.91,5.88,4.13,111.89,0.985531153,337.32,1597896.2,694645.68,41.35,38580.12,16492.14,33253.13,0.9324591786244433,late,False,True,True,True,True,True,4,,203784950020_R02C01 beta,1.0,,,
387,hFB13,33.0,2,21,Control,Control_21,77.74,,Normal,18.0,Primary Human Fibroblast (breast),female,182.08,,,,41.0,,,,,,,,,,,,,,,,,,0.9616526472043542,late,True,False,False,False,True,False,2,Sample_41,,1.0,0.1577958251720383,0.2270959210116621,0.40755421928483343
388,hFB13,34.0,2,21,Control,Control_21,78.66,,Normal,18.0,Primary Human Fibroblast (breast),female,189.38,0.53,0.03,947.46,,203774260129_R01C01,68.38,44.21,12.58,5.9,43.56,5.72,3.41,116.41,1.012692637,343.45,1597877.13,682232.93,132.31,38872.17,17856.6,33218.62,0.9730331519049974,late,False,True,True,True,True,True,4,,203774260129_R01C01 beta,1.0,,,
390,hFB13,36.0,2,21,Control,Control_21,79.99,,Normal,18.0,Primary Human Fibroblast (breast),female,202.25,,,,42.0,,,,,,,,,,,,,,,,,,0.9894854032657099,late,True,False,False,False,True,False,2,Sample_42,,1.0,0.2444717864718113,0.03667549025412332,-0.4581689324834869
397,hFB14,6.0,2,21,Control,Control_21,1.95,,Normal,0.0,Primary Human Fibroblast (foreskin),male,3.08,0.77,0.01,308.38,,203774260129_R08C01,20.29,-0.03,-32.74,30.4,28.5,5.95,1.21,35.27,0.735406924,310.45,1206919.45,610003.77,0.9,27994.6,32590.67,24450.68,0.043391188251001335,early,False,True,True,True,False,True,3,,203774260129_R08C01 beta,1.0,,,
399,hFB14,8.0,2,21,Control,Control_21,10.08,,Normal,0.0,Primary Human Fibroblast (foreskin),male,13.04,0.97,0.0,427.74,,203774260118_R02C01,29.07,0.42,-34.41,40.64,27.74,5.99,2.75,40.12,0.756071305,310.5,1134809.35,604771.46,145.96,29077.41,29895.98,24594.24,0.22429906542056077,early,False,True,True,True,False,True,3,,203774260118_R02C01 beta,1.0,,,
400,hFB14,9.0,2,21,Control,Control_21,13.46,,Normal,0.0,Primary Human Fibroblast (foreskin),male,17.25,0.69,0.14,406.31,,203774260153_R04C01,26.86,0.62,-31.52,41.49,29.32,5.94,4.21,43.47,0.746742956,311.96,1044716.3,598866.12,93.36,26110.48,28622.58,24736.2,0.2995104583889631,early,False,True,True,True,True,True,4,,203774260153_R04C01 beta,1.0,,,
401,hFB14,10.0,2,21,Control,Control_21,16.85,,Normal,0.0,Primary Human Fibroblast (foreskin),male,22.42,,,,43.0,,,,,,,,,,,,,,,,,,0.37494437027147315,mid,True,False,False,False,True,False,2,Sample_43,,1.0,0.7255082693347564,0.4930652664237663,-0.31440474206956937
402,hFB14,11.0,2,21,Control,Control_21,20.4,,Normal,0.0,Primary Human Fibroblast (foreskin),male,28.08,0.65,0.04,419.28,,203833030029_R07C01,39.16,0.92,-29.12,56.98,30.31,5.86,4.84,52.2,0.987823961,317.5,1059699.17,613875.87,19.42,30288.18,26641.99,25125.3,0.4539385847797063,mid,False,True,True,True,True,True,4,,203833030029_R07C01 beta,1.0,,,
404,hFB14,13.0,2,21,Control,Control_21,26.27,,Normal,0.0,Primary Human Fibroblast (foreskin),male,39.13,,,,44.0,,,,,,,,,,,,,,,,,,0.5845571873609257,mid,True,False,False,False,True,False,2,Sample_44,,1.0,0.5554394547574459,0.4992225319974812,-0.1348409202647705
405,hFB14,14.0,2,21,Control,Control_21,27.89,,Normal,0.0,Primary Human Fibroblast (foreskin),male,44.04,0.5,0.04,308.13,,203774260129_R02C01,43.2,0.68,-27.11,49.35,30.76,5.4,6.84,56.45,0.807398699,328.75,1340912.6,593060.08,-151.17,35561.43,23598.53,25768.34,0.620605251446373,mid,False,True,True,True,True,True,4,,203774260129_R02C01 beta,1.0,,,
407,hFB14,16.0,2,21,Control,Control_21,32.17,,Normal,0.0,Primary Human Fibroblast (foreskin),male,55.04,,,,45.0,,,,,,,,,,,,,,,,,,0.7158433466844683,late,True,False,False,False,True,False,2,Sample_45,,1.0,0.3804636526335361,0.5918026990107832,-0.3211828357353669
408,hFB14,17.0,2,21,Control,Control_21,34.12,,Normal,0.0,Primary Human Fibroblast (foreskin),male,60.13,0.66,0.02,340.45,,203784950020_R08C01,46.7,0.05,-28.28,52.08,28.1,5.24,8.95,57.76,0.834556352,298.33,1421937.32,578299.22,-408.82,38589.9,17308.98,25502.68,0.7592345349354696,late,False,True,True,True,True,True,4,,203784950020_R08C01 beta,1.0,,,
410,hFB14,19.0,2,21,Control,Control_21,37.26,,Normal,0.0,Primary Human Fibroblast (foreskin),male,70.13,,,,46.0,,,,,,,,,,,,,,,,,,0.829105473965287,late,True,False,False,False,True,False,2,Sample_46,,1.0,0.6988814613451868,0.551368824619432,-0.12950324703043242
411,hFB14,20.0,2,21,Control,Control_21,38.62,,Normal,0.0,Primary Human Fibroblast (foreskin),male,74.96,0.35,0.02,496.25,,203836210089_R02C01,41.88,0.89,-17.65,48.03,28.67,5.23,7.44,67.0,0.775503563,312.68,1425600.16,555440.17,-317.52,37215.31,14639.17,26042.79,0.8593680462839342,late,False,True,True,True,True,True,4,,203836210089_R02C01 beta,1.0,,,
